id,author,title,author_gender,publication_year,publisher,text_word_count
A001,"Chopin, Kate",The Awakening,Female,1899,Herbert S. Stone & Co.,50720
A002,"Conrad, Joseph",Heart of Darkness,Male,1899,Blackwood's Magazine,39355
A003,"Conrad, Joseph",Lord Jim,Male,1900,Blackwood's Magazine,129397
A004,"Conrad, Joseph",Secret Agent,Male,1907,Methuen & Co,90094
A005,"Conrad, Joseph",Nostromo,Male,1904,Harper & Bros,167589
A006,"Doolittle, Hilda",Asphodel,Female,1922,Duke University Press,89108
A007,"Doolittle, Hilda",HERmione,Female,1927,New Directions Publishing Corporation,71432
A008,"Doolittle, Hilda",Kora and Ka,Female,1930,Imprimerie Darantiere,17745
A009,"Doolittle, Hilda",The Gift,Female,1943,New Directions,46678
A010,"Faulkner, William",Soldier's Pay,Male,1926,Boni&Liveright,89271
A011,"Faulkner, William",Mostquitoes,Male,1927,Boni&Liveright,101019
A012,"Faulkner, William",Flags in the Dust,Male,1973,RandomHouse,129029
A013,"Faulkner, William",The Sound and the Fury,Male,1929,Jonathan Cape & Harrison Smith,96645
A014,"Faulkner, William",As I Lay Dying,Male,1930,Jonathan Cape & Harrison Smith,56876
A015,"Faulkner, William",Sanctuary,Male,1931,Jonathan Cape & Harrison Smith,79356
A016,"Faulkner, William",Light in August,Male,1932,Harrison Smith & Robert Haas,152158
A017,"Faulkner, William",Pylon,Male,1935,Harrison Smith & Robert Haas,84914
A018,"Faulkner, William","Absalom, Absalom!",Male,1936,RandomHouse,131542
A019,"Faulkner, William",The Unvanquished,Male,1938,RandomHouse,69269
A020,"Faulkner, William",The Wild Palms,Male,1939,RandomHouse,92814
A021,"Faulkner, William",The Hamlet,Male,1940,RandomHouse,140438
A022,"Faulkner, William","Go Down, Moses",Male,1942,RandomHouse,111949
A023,"Faulkner, William",Intruder in the Dust,Male,1948,RandomHouse,75653
A024,"Faulkner, William",A Fable,Male,1954,RandomHouse,159649
A025,"Faulkner, William",The Town,Male,1957,RandomHouse,127348
A026,"Faulkner, William",The Mansion,Male,1959,RandomHouse,156349
A027,"Faulkner, William",The Reivers,Male,1962,RandomHouse,96697
A028,"Fitzgerald, F.Scott",The Great Gatsby,Male,1925,Charles Scribner's Sons,48063
A029,"Fitzgerald, F.Scott",Tender is the Night,Male,1934,Charles Scribner's Sons,109262
A030,"Fitzgerald, F.Scott",This Side of Paradise,Male,1920,Charles Scribner's Sons,80449
A031,"Fitzgerald, F.Scott",The Curious Case of Benjamin Button,Male,1922,N/A,9190
A032,"Fitzgerald, F.Scott",Tales of the Jazz Age,Male,1922,Charles Scribner's Sons,85198
A033,"Fitzgerald, F.Scott",The Beautiful and Damned,Male,1922,Charles Scribner's Sons,124687
A034,"Fitzgerald, F.Scott",The Diamond as Big as the Ritz,Male,1922,The Smart Set,14839
A035,"Fitzgerald, F.Scott",The Love of the Last Tycoon,Male,1941,Charles Scribner's Sons,51569
A036,"Fitzgerald, F.Scott",Flappers and Philosophers,Male,1920,N/A,60427
A037,"Fitzgerald, Zelda",Save Me the Waltz,Female,1932,Charles Scribner's Sons,73009
A038,"Ford, Ford Madox",The Good Soldier,Male,1915,Lane,75222
A039,"Ford, Ford Madox",Some Do Not...,Male,1924,Duckworth,113230
A040,"Ford, Ford Madox",No More Parades,Male,1925,Duckworth,84508
A041,"Ford, Ford Madox",A Man Could Stand Up,Male,1926,Duckworth,69063
A042,"Ford, Ford Madox",Last Post: A Novel,Male,1928,Duckworth,68013
A043,"Ford, Ford Madox",The Fifth Queen,Male,1906,Alston Rivers,75268
A044,"Ford, Ford Madox",Privy Seal,Male,1907,Alston Rivers,60638
A045,"Ford, Ford Madox",The Fifth Queen Crowned,Male,1908,Alston Rivers,196773
A046,"Ford, Ford Madox",Ladies Whose Bright Eyes,Male,1911,Constable,108661
A047,"Gissing, George ",The Private Papers of Henry Ryecroft,Male,1903,Archibald Constable,60057
A048,"Gissing, George ",The Odd Women,Male,1893,Lawrence and Bullen,137726
A049,"Gissing, George ",The Nether World,Male,1889,"Smith, Elder & Co.",159957
A050,"Gissing, George ",New Grub Street ,Male,1891,"Smith, Elder & Co.",186426
A051,"Gissing, George ",Eve's Ransom,Male,1895,Lawrence and Bullen,54486
A052,"Gissing, George ",The Paying Guest,Male,1895,Cassell,26847
A053,"Gissing, George ",The Whirlpool,Male,1897,Lawrence and Bullen,162707
A054,"Hall, Radclyffe",The Well of Loneliness,Female,1928,Jonathan Cape,162353
A055,"Hardy, Thomas",Jude the Obscure,Male,1895,N/A,143953
A056,"Hardy, Thomas",Far from the Madding Crowd,Male,1874,N/A,139118
A057,"Hardy, Thomas",The Return of the Native,Male,1878,N/A,141897
A058,"Hardy, Thomas",The Mayor of Casterbridge,Male,1886,N/A,115346
A059,"Hardy, Thomas",The Woodlanders,Male,1887,N/A,133565
A060,"Hardy, Thomas",Tess of the d?™Urbervilles,Male,1891,N/A,147382
A061,"Hemingway, Ernest",In Our Time,Male,1925,Scribner,3601
A062,"Hemingway, Ernest",The Sun Also Rises,Male,1926,Scribner,67676
A063,"Hemingway, Ernest",A Farewell to Arms,Male,1929,Scribner,88541
A064,"Hemingway, Ernest",To Have and Have Not,Male,1937,Scribner,55098
A065,"Hemingway, Ernest",For Whom the Bell Tolls,Male,1940,Scribner,174247
A066,"Hemingway, Ernest",The Old Man and the Sea,Male,1952,Scribner,26588
A067,"Hemingway, Ernest",The Torrents of Spring,Male,1926,Scribner,21072
A068,"Hemingway, Ernest",Across the River and into the Trees,Male,1950,Scribner,67809
A069,"Hemingway, Ernest",Islands in the Stream,Male,1970,Scribner,143315
A070,"Hemingway, Ernest",The Garden of Eden,Male,1986,Scribner,65910
A071,"Howells, William Dean",The Rise of Silas Lapham,Male,1885,Ticknor & Co,130842
A072,"Howells, William Dean",A Hazard of New Fortunes,Male,1889,Harper & Brothers,163270
A073,"Howells, William Dean",An Imperative Duty,Male,1891,D. Douglas,37498
